Raman Shift / Pixel,Intensity
1555.09029209622,3435.8
1554.196048109966,3390.1
1553.3018041237115,3372.7
1552.407560137457,3400.7
1551.5133161512028,3337.4
1550.6190721649486,3354.9
1549.7248281786942,3379.5
1548.83058419244,3391.1
1547.9363402061856,3392.4
1547.0420962199314,3387.3
1546.147852233677,3389.9
1545.2536082474228,3396.2
1544.3593642611686,3412.6
1543.4651202749142,3366.2
1542.57087628866,3402.2
1541.6766323024056,3415.5
1540.7823883161514,3388.5
1539.888144329897,3452.1
1538.9939003436427,3358.1
1538.0996563573885,3389.1
1537.2054123711341,3360.6
1536.31116838488,3369.5
1535.4169243986255,3413.9
1534.5226804123713,3409.8
1533.6284364261169,3371.2
1532.7341924398627,3400.0
1531.8399484536085,3382.7
1530.945704467354,3418.9
1530.0514604810996,3378.1
1529.1572164948454,3402.2
1528.2629725085912,3382.6
1527.3687285223368,3341.4
1526.4744845360826,3395.9
1525.5802405498282,3372.0
1524.685996563574,3405.5
1523.7917525773196,3398.0
1522.8975085910654,3370.4
1522.0032646048112,3374.4
1521.1090206185568,3437.3
1520.2147766323026,3476.0
1519.3205326460482,3396.2
1518.426288659794,3384.5
1517.5320446735395,3379.9
1516.6378006872853,3395.5
1515.7435567010311,3425.4
1514.8493127147767,3410.9
1513.9550687285225,3420.8
1513.060824742268,3429.1
1512.166580756014,3398.7
1511.2723367697595,3391.4
1510.3780927835053,3405.1
1509.483848797251,3330.4
1508.5896048109967,3403.9
1507.6953608247422,3425.9
1506.801116838488,3391.5
1505.9068728522338,3423.8
1505.0126288659794,3449.0
1504.1183848797252,3419.6
1503.224140893471,3411.3
1502.3298969072166,3385.6
1501.4356529209622,3410.7
1500.541408934708,3390.8
1499.6471649484538,3421.0
1498.7529209621994,3402.6
1497.8586769759452,3437.4
1496.9644329896907,3426.0
1496.0701890034366,3468.7
1495.1759450171821,3402.7
1494.281701030928,3437.2
1493.3874570446737,3398.0
1492.4932130584193,3454.1
1491.5989690721651,3432.8
1490.7047250859107,3436.4
1489.8104810996565,3413.1
1488.916237113402,3456.6
1488.0219931271479,3397.7
1487.1277491408937,3438.8
1486.2335051546393,3420.2
1485.339261168385,3424.6
1484.4450171821306,3392.1
1483.5507731958764,3419.7
1482.656529209622,3442.9
1481.7622852233678,3411.7
1480.8680412371136,3388.2
1479.9737972508592,3423.2
1479.0795532646048,3426.8
1478.1853092783506,3435.1
1477.2910652920964,3444.0
1476.396821305842,3406.6
1475.5025773195878,3381.3
1474.6083333333336,3412.8
1473.7140893470792,3412.9
1472.8198453608247,3406.6
1471.9256013745705,3413.8
1471.0313573883163,3379.8
1470.137113402062,3406.0
1469.2428694158077,3373.5
1468.3486254295535,3413.1
1467.454381443299,3411.9
1466.5601374570447,3401.8
1465.6658934707905,3414.8
1464.7716494845363,3388.8
1463.8774054982819,3431.6
1462.9831615120274,3394.3
1462.0889175257735,3349.9
1461.194673539519,3398.7
1460.3004295532646,3435.7
1459.4061855670104,3366.7
1458.5119415807562,3378.3
1457.6176975945018,3384.2
1456.7234536082474,3343.3
1455.8292096219932,3390.3
1454.934965635739,3394.5
1454.0407216494846,3385.9
1453.1464776632304,3384.8
1452.2522336769762,3375.3
1451.3579896907218,3358.8
1450.4637457044673,3371.4
1449.5695017182131,3362.3
1448.675257731959,3394.6
1447.7810137457045,3382.0
1446.8867697594503,3359.3
1445.9925257731961,3409.3
1445.0982817869417,3412.6
1444.2040378006873,3381.6
1443.309793814433,3358.1
1442.4155498281789,3384.7
1441.5213058419245,3344.8
1440.6270618556703,3364.1
1439.732817869416,3354.9
1438.8385738831616,3390.4
